"Area","MTU","Biomass  - Actual Aggregated [MW]","Fossil Brown coal/Lignite  - Actual Aggregated [MW]","Fossil Coal-derived gas  - Actual Aggregated [MW]","Fossil Gas  - Actual Aggregated [MW]","Fossil Hard coal  - Actual Aggregated [MW]","Fossil Oil  - Actual Aggregated [MW]","Fossil Oil shale  - Actual Aggregated [MW]","Fossil Peat  - Actual Aggregated [MW]","Geothermal  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Consumption [MW]","Hydro Run-of-river and poundage  - Actual Aggregated [MW]","Hydro Water Reservoir  - Actual Aggregated [MW]","Marine  - Actual Aggregated [MW]","Nuclear  - Actual Aggregated [MW]","Other  - Actual Aggregated [MW]","Other renewable  - Actual Aggregated [MW]","Solar  - Actual Aggregated [MW]","Waste  - Actual Aggregated [MW]","Wind Offshore  - Actual Aggregated [MW]","Wind Onshore  - Actual Aggregated [MW]"
"BZN|PL","28.10.2015 05:00 - 28.10.2015 06:00 (CET/CEST)","235","4856","70","425","8383","222","n/e","n/e","n/e","0","","96","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","1706"
"BZN|PL","28.10.2015 06:00 - 28.10.2015 07:00 (CET/CEST)","231","5811","71","452","9181","222","n/e","n/e","n/e","0","","96","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","1977"
"BZN|PL","28.10.2015 07:00 - 28.10.2015 08:00 (CET/CEST)","252","5746","72","462","10272","223","n/e","n/e","n/e","0","","99","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","1995"
"BZN|PL","28.10.2015 08:00 - 28.10.2015 09:00 (CET/CEST)","253","6079","74","464","10465","218","n/e","n/e","n/e","0","","105","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","1902"
"BZN|PL","28.10.2015 09:00 - 28.10.2015 10:00 (CET/CEST)","252","6318","73","462","10640","215","n/e","n/e","n/e","0","","112","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","1562"
"BZN|PL","28.10.2015 10:00 - 28.10.2015 11:00 (CET/CEST)","252","6375","74","461","10702","216","n/e","n/e","n/e","0","","117","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","1340"
"BZN|PL","28.10.2015 11:00 - 28.10.2015 12:00 (CET/CEST)","252","6525","75","460","10714","213","n/e","n/e","n/e","0","","121","50","n/e","n/e","n/e","n/e","n/e","n/e","n/e","1334"
"BZN|PL","28.10.2015 12:00 - 28.10.2015 13:00 (CET/CEST)","252","6419","71","458","10767","213","n/e","n/e","n/e","0","","121","57","n/e","n/e","n/e","n/e","n/e","n/e","n/e","1365"
"BZN|PL","28.10.2015 13:00 - 28.10.2015 14:00 (CET/CEST)","252","6345","68","456","10760","213","n/e","n/e","n/e","0","","118","7","n/e","n/e","n/e","n/e","n/e","n/e","n/e","1478"
"BZN|PL","28.10.2015 14:00 - 28.10.2015 15:00 (CET/CEST)","253","6167","67","455","10434","215","n/e","n/e","n/e","0","","107","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","1636"
"BZN|PL","28.10.2015 15:00 - 28.10.2015 16:00 (CET/CEST)","252","6148","68","459","10305","217","n/e","n/e","n/e","0","","101","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","1731"
"BZN|PL","28.10.2015 16:00 - 28.10.2015 17:00 (CET/CEST)","253","6341","66","460","10659","217","n/e","n/e","n/e","36","","101","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","1906"
"BZN|PL","28.10.2015 17:00 - 28.10.2015 18:00 (CET/CEST)","252","6532","68","461","11037","218","n/e","n/e","n/e","391","","101","50","n/e","n/e","n/e","n/e","n/e","n/e","n/e","2219"
"BZN|PL","28.10.2015 18:00 - 28.10.2015 19:00 (CET/CEST)","252","6319","73","461","10630","220","n/e","n/e","n/e","359","","126","57","n/e","n/e","n/e","n/e","n/e","n/e","n/e","2403"
"BZN|PL","28.10.2015 19:00 - 28.10.2015 20:00 (CET/CEST)","252","6114","73","463","10660","221","n/e","n/e","n/e","363","","126","7","n/e","n/e","n/e","n/e","n/e","n/e","n/e","2405"
"BZN|PL","28.10.2015 20:00 - 28.10.2015 21:00 (CET/CEST)","252","5679","69","463","10682","222","n/e","n/e","n/e","200","","120","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","2267"
"BZN|PL","28.10.2015 21:00 - 28.10.2015 22:00 (CET/CEST)","252","5562","70","464","10017","223","n/e","n/e","n/e","89","","120","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","2194"
"BZN|PL","28.10.2015 22:00 - 28.10.2015 23:00 (CET/CEST)","242","5393","71","455","9170","223","n/e","n/e","n/e","98","","111","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","2168"
"BZN|PL","28.10.2015 23:00 - 29.10.2015 00:00 (CET/CEST)","238","4790","72","430","8907","224","n/e","n/e","n/e","0","","98","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","2019"
"BZN|PL","29.10.2015 00:00 - 29.10.2015 01:00 (CET/CEST)","238","4523","72","425","8736","223","n/e","n/e","n/e","0","","99","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","1895"
"BZN|PL","29.10.2015 01:00 - 29.10.2015 02:00 (CET/CEST)","238","4326","75","386","8680","223","n/e","n/e","n/e","0","","98","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","1870"
"BZN|PL","29.10.2015 02:00 - 29.10.2015 03:00 (CET/CEST)","238","4331","77","381","8599","223","n/e","n/e","n/e","0","","98","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","1849"
"BZN|PL","29.10.2015 03:00 - 29.10.2015 04:00 (CET/CEST)","238","4552","75","385","8627","222","n/e","n/e","n/e","0","","98","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","1741"
"BZN|PL","29.10.2015 04:00 - 29.10.2015 05:00 (CET/CEST)","239","4983","74","425","8574","220","n/e","n/e","n/e","0","","98","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","1621"
"BZN|PL","29.10.2015 05:00 - 29.10.2015 06:00 (CET/CEST)","238","5931","74","429","8546","220","n/e","n/e","n/e","0","","98","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","1483"
"BZN|PL","29.10.2015 06:00 - 29.10.2015 07:00 (CET/CEST)","249","6391","74","452","9656","231","n/e","n/e","n/e","0","","99","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","1420"
"BZN|PL","29.10.2015 07:00 - 29.10.2015 08:00 (CET/CEST)","252","6609","74","463","10602","233","n/e","n/e","n/e","0","","99","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","1276"
"BZN|PL","29.10.2015 08:00 - 29.10.2015 09:00 (CET/CEST)","253","6898","75","465","11059","230","n/e","n/e","n/e","0","","103","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","1049"
"BZN|PL","29.10.2015 09:00 - 29.10.2015 10:00 (CET/CEST)","253","7074","77","466","11252","223","n/e","n/e","n/e","0","","109","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","832"
"BZN|PL","29.10.2015 10:00 - 29.10.2015 11:00 (CET/CEST)","252","7016","75","466","11233","220","n/e","n/e","n/e","30","","117","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","696"
"BZN|PL","29.10.2015 11:00 - 29.10.2015 12:00 (CET/CEST)","252","6969","71","463","11469","216","n/e","n/e","n/e","33","","121","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","535"
"BZN|PL","29.10.2015 12:00 - 29.10.2015 13:00 (CET/CEST)","252","6963","69","462","11569","215","n/e","n/e","n/e","4","","120","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","409"
"BZN|PL","29.10.2015 13:00 - 29.10.2015 14:00 (CET/CEST)","252","7029","69","461","11617","218","n/e","n/e","n/e","0","","120","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","354"
"BZN|PL","29.10.2015 14:00 - 29.10.2015 15:00 (CET/CEST)","253","7049","65","462","11360","218","n/e","n/e","n/e","0","","115","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","311"
"BZN|PL","29.10.2015 15:00 - 29.10.2015 16:00 (CET/CEST)","252","7106","62","461","11483","217","n/e","n/e","n/e","0","","106","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","305"
"BZN|PL","29.10.2015 16:00 - 29.10.2015 17:00 (CET/CEST)","250","7053","64","460","12040","216","n/e","n/e","n/e","116","","104","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","321"
"BZN|PL","29.10.2015 17:00 - 29.10.2015 18:00 (CET/CEST)","253","6980","66","461","12329","219","n/e","n/e","n/e","339","","104","50","n/e","n/e","n/e","n/e","n/e","n/e","n/e","355"
"BZN|PL","29.10.2015 18:00 - 29.10.2015 19:00 (CET/CEST)","253","6923","66","462","12110","219","n/e","n/e","n/e","372","","117","57","n/e","n/e","n/e","n/e","n/e","n/e","n/e","369"
"BZN|PL","29.10.2015 19:00 - 29.10.2015 20:00 (CET/CEST)","252","6920","66","463","11859","219","n/e","n/e","n/e","343","","124","57","n/e","n/e","n/e","n/e","n/e","n/e","n/e","366"
"BZN|PL","29.10.2015 20:00 - 29.10.2015 21:00 (CET/CEST)","253","6873","64","480","11339","216","n/e","n/e","n/e","210","","126","57","n/e","n/e","n/e","n/e","n/e","n/e","n/e","300"
"BZN|PL","29.10.2015 21:00 - 29.10.2015 22:00 (CET/CEST)","252","6567","65","553","10699","215","n/e","n/e","n/e","0","","122","7","n/e","n/e","n/e","n/e","n/e","n/e","n/e","211"
"BZN|PL","29.10.2015 22:00 - 29.10.2015 23:00 (CET/CEST)","243","6720","64","600","10011","214","n/e","n/e","n/e","0","","111","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","146"
"BZN|PL","29.10.2015 23:00 - 30.10.2015 00:00 (CET/CEST)","239","6146","66","624","9401","215","n/e","n/e","n/e","0","","99","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","101"
"BZN|PL","30.10.2015 00:00 - 30.10.2015 01:00 (CET/CEST)","238","6013","69","623","9081","214","n/e","n/e","n/e","0","","97","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","63"
